-------------- Insert cercado-------------------------------------------------------------------------------------------------------------------
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('80 ',' 64 ',' 61 ',' 53 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('4 ',' 18 ',' 33 ',' 96 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('15 ',' 76 ',' 46 ',' 43 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('10 ',' 85 ',' 5 ',' 31 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('77 ',' 13 ',' 80 ',' 80 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('48 ',' 55 ',' 92 ',' 35 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('73 ',' 89 ',' 74 ',' 9 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('30 ',' 68 ',' 34 ',' 23 ',' 2022-01-13 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('57 ',' 68 ',' 85 ',' 13 ',' 2022-01-13 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('24 ',' 3 ',' 46 ',' 19 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('25 ',' 65 ',' 49 ',' 74 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('45 ',' 73 ',' 47 ',' 96 ',' 2022-01-30 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('11 ',' 22 ',' 95 ',' 91 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 56 ',' 39 ',' 30 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('91 ',' 34 ',' 71 ',' 43 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('61 ',' 81 ',' 89 ',' 18 ',' 2022-01-30 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('58 ',' 3 ',' 21 ',' 9 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('17 ',' 40 ',' 52 ',' 95 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('17 ',' 74 ',' 88 ',' 0 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('70 ',' 75 ',' 57 ',' 60 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('85 ',' 95 ',' 48 ',' 38 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('31 ',' 32 ',' 38 ',' 39 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('72 ',' 96 ',' 97 ',' 22 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('85 ',' 15 ',' 97 ',' 86 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('6 ',' 67 ',' 25 ',' 46 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('61 ',' 2 ',' 33 ',' 85 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('27 ',' 91 ',' 2 ',' 0 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('8 ',' 68 ',' 85 ',' 64 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('93 ',' 86 ',' 36 ',' 75 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('43 ',' 40 ',' 76 ',' 82 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('5 ',' 88 ',' 83 ',' 13 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('23 ',' 47 ',' 67 ',' 72 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('67 ',' 78 ',' 90 ',' 37 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 42 ',' 76 ',' 57 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('72 ',' 59 ',' 58 ',' 39 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('74 ',' 26 ',' 70 ',' 12 ',' 2022-01-17 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('18 ',' 46 ',' 65 ',' 71 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('16 ',' 48 ',' 51 ',' 74 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('52 ',' 11 ',' 69 ',' 48 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('12 ',' 47 ',' 58 ',' 19 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('37 ',' 76 ',' 93 ',' 68 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('30 ',' 70 ',' 89 ',' 34 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('36 ',' 75 ',' 31 ',' 85 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 7 ',' 74 ',' 26 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 38 ',' 1 ',' 80 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('21 ',' 58 ',' 73 ',' 64 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('55 ',' 19 ',' 94 ',' 18 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('97 ',' 76 ',' 79 ',' 43 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('80 ',' 66 ',' 70 ',' 85 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('31 ',' 56 ',' 79 ',' 34 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 13 ',' 0 ',' 71 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('18 ',' 94 ',' 68 ',' 50 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('72 ',' 29 ',' 51 ',' 61 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('29 ',' 50 ',' 92 ',' 81 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('12 ',' 46 ',' 68 ',' 29 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('6 ',' 85 ',' 99 ',' 4 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('15 ',' 25 ',' 84 ',' 47 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('62 ',' 56 ',' 74 ',' 89 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('2 ',' 91 ',' 9 ',' 48 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('57 ',' 27 ',' 51 ',' 28 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('39 ',' 78 ',' 67 ',' 5 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('15 ',' 63 ',' 55 ',' 96 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('69 ',' 2 ',' 39 ',' 40 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('60 ',' 78 ',' 35 ',' 25 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('91 ',' 69 ',' 71 ',' 76 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('41 ',' 97 ',' 20 ',' 85 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 91 ',' 37 ',' 92 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('44 ',' 55 ',' 84 ',' 24 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('92 ',' 27 ',' 4 ',' 12 ',' 2022-01-02 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('14 ',' 66 ',' 40 ',' 98 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('21 ',' 20 ',' 72 ',' 5 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('66 ',' 47 ',' 71 ',' 54 ',' 2022-01-17 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('35 ',' 9 ',' 99 ',' 91 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('85 ',' 72 ',' 12 ',' 24 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('64 ',' 97 ',' 35 ',' 63 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 25 ',' 69 ',' 71 ',' 2022-01-12 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('7 ',' 98 ',' 68 ',' 99 ',' 2022-01-30 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 73 ',' 99 ',' 59 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('13 ',' 58 ',' 27 ',' 38 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 71 ',' 71 ',' 57 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('67 ',' 67 ',' 54 ',' 5 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('22 ',' 11 ',' 32 ',' 62 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 68 ',' 54 ',' 68 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('16 ',' 44 ',' 24 ',' 30 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('92 ',' 60 ',' 23 ',' 28 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('52 ',' 48 ',' 87 ',' 44 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('31 ',' 76 ',' 5 ',' 69 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('9 ',' 71 ',' 17 ',' 97 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('76 ',' 81 ',' 89 ',' 56 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('82 ',' 72 ',' 15 ',' 60 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('58 ',' 51 ',' 43 ',' 8 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('48 ',' 2 ',' 77 ',' 23 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('90 ',' 18 ',' 40 ',' 66 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('94 ',' 30 ',' 98 ',' 47 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('81 ',' 28 ',' 8 ',' 40 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('19 ',' 61 ',' 66 ',' 86 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('15 ',' 23 ',' 5 ',' 3 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('60 ',' 5 ',' 3 ',' 28 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('67 ',' 40 ',' 25 ',' 68 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('10 ',' 38 ',' 38 ',' 46 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('63 ',' 81 ',' 59 ',' 13 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('33 ',' 59 ',' 16 ',' 81 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('50 ',' 69 ',' 70 ',' 29 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('80 ',' 31 ',' 98 ',' 60 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('30 ',' 3 ',' 77 ',' 15 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('49 ',' 5 ',' 60 ',' 80 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('79 ',' 11 ',' 2 ',' 75 ',' 2022-01-17 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('51 ',' 87 ',' 89 ',' 84 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('70 ',' 54 ',' 0 ',' 22 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('71 ',' 5 ',' 93 ',' 36 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('16 ',' 80 ',' 14 ',' 39 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('16 ',' 79 ',' 84 ',' 19 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 84 ',' 6 ',' 91 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('65 ',' 8 ',' 24 ',' 21 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('33 ',' 63 ',' 4 ',' 70 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('79 ',' 21 ',' 17 ',' 68 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('74 ',' 84 ',' 12 ',' 23 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('27 ',' 95 ',' 24 ',' 71 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('29 ',' 80 ',' 22 ',' 15 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('64 ',' 60 ',' 36 ',' 93 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 21 ',' 50 ',' 44 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 32 ',' 14 ',' 36 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('50 ',' 20 ',' 73 ',' 36 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('61 ',' 70 ',' 99 ',' 91 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('15 ',' 63 ',' 99 ',' 72 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('13 ',' 9 ',' 29 ',' 42 ',' 2022-01-30 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('90 ',' 42 ',' 13 ',' 86 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('56 ',' 60 ',' 91 ',' 78 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('71 ',' 16 ',' 94 ',' 74 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 1 ',' 72 ',' 43 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('61 ',' 37 ',' 11 ',' 79 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 66 ',' 18 ',' 20 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('2 ',' 75 ',' 51 ',' 26 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('77 ',' 79 ',' 98 ',' 64 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('49 ',' 55 ',' 88 ',' 95 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('20 ',' 52 ',' 7 ',' 28 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('38 ',' 5 ',' 71 ',' 45 ',' 2022-01-12 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 61 ',' 38 ',' 21 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('77 ',' 30 ',' 64 ',' 68 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 91 ',' 83 ',' 12 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('0 ',' 13 ',' 36 ',' 99 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('33 ',' 16 ',' 80 ',' 53 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('58 ',' 28 ',' 82 ',' 92 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('80 ',' 70 ',' 11 ',' 19 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('84 ',' 49 ',' 63 ',' 98 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('66 ',' 21 ',' 33 ',' 56 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('31 ',' 60 ',' 1 ',' 18 ',' 2022-01-16 ');
